country,quarter,gdp
Lithuania,2023-Q1,16787.7
Lithuania,2023-Q2,18412.4
Lithuania,2023-Q3,19557.3
Lithuania,2023-Q4,19559.6
Lithuania,2024-Q1,17640
Lithuania,2024-Q2,19415.4
Lithuania,2024-Q3,20993
Lithuania,2024-Q4,20947.9
Lithuania,2025-Q1,18811.1
Lithuania,2025-Q2,20717.3
Lithuania,2025-Q3,22200.5
Lithuania,2025-Q4,22258.3
Poland,2017-Q1,107052.5
Poland,2017-Q2,114356.6
Poland,2017-Q3,115778.4
Poland,2017-Q4,132168.8
Poland,2018-Q1,118375.2
Poland,2018-Q2,121021
Poland,2018-Q3,123836.6
Poland,2018-Q4,140523.3
Poland,2019-Q1,123907.2
Poland,2019-Q2,130847
Poland,2019-Q3,133131.6
Poland,2019-Q4,150611.9
Poland,2020-Q1,130728.2
Poland,2020-Q2,118931.6
Poland,2020-Q3,134076.9
Poland,2020-Q4,147973.9
Poland,2021-Q1,132581
Poland,2021-Q2,138721.6
Poland,2021-Q3,147651
Poland,2021-Q4,163812.5
Poland,2022-Q1,150472.6
Poland,2022-Q2,157531
Poland,2022-Q3,166578.2
Poland,2022-Q4,186744.1
Poland,2023-Q1,169316
Poland,2023-Q2,180645.9
Poland,2023-Q3,189584.1
Poland,2023-Q4,213946.4
Poland,2024-Q1,193642.3
Poland,2024-Q2,202627.4
Poland,2024-Q3,213227.7
Poland,2024-Q4,239047.3
Poland,2025-Q1,212586.5
Poland,2025-Q2,217834.5
Poland,2025-Q3,227946.1
Poland,2025-Q4,237000
Portugal,2017-Q1,46514.1
Portugal,2017-Q2,49258.1
Portugal,2017-Q3,49778.3
Portugal,2017-Q4,49958.5
Portugal,2018-Q1,48534.4
Portugal,2018-Q2,51285.6
Portugal,2018-Q3,52224.5
Portugal,2018-Q4,52953.1
Portugal,2019-Q1,51149.9
Portugal,2019-Q2,53703.6
Portugal,2019-Q3,54354.1
Portugal,2019-Q4,55282.3
Portugal,2020-Q1,50808.8
Portugal,2020-Q2,45758.3
Portugal,2020-Q3,51742.7
Portugal,2020-Q4,52722.9
Portugal,2021-Q1,49339.9
Portugal,2021-Q2,53605.9
Portugal,2021-Q3,55851.2
Portugal,2021-Q4,57696.8
Portugal,2022-Q1,55633.9
Portugal,2022-Q2,60953.1
Portugal,2022-Q3,62606.6
Portugal,2022-Q4,64763.6
Portugal,2023-Q1,62772.1
Portugal,2023-Q2,67531.9
Portugal,2023-Q3,69394.4
Portugal,2023-Q4,70654.3
Portugal,2024-Q1,67245.4
Portugal,2024-Q2,72082.1
Portugal,2024-Q3,74060.9
Portugal,2024-Q4,76039.6
Portugal,2025-Q1,70820.5
Portugal,2025-Q2,76119.3
Portugal,2025-Q3,78669
Portugal,2025-Q4,79500
Spain,2017-Q1,278500
Spain,2017-Q2,296216
Spain,2017-Q3,289397
Spain,2017-Q4,305911
Spain,2018-Q1,288568
Spain,2018-Q2,307152
Spain,2018-Q3,299180
Spain,2018-Q4,317376
Spain,2019-Q1,301178
Spain,2019-Q2,317802
Spain,2019-Q3,308032
Spain,2019-Q4,326698
Spain,2020-Q1,290779
Spain,2020-Q2,252148
Spain,2020-Q3,283890
Spain,2020-Q4,302397
Spain,2021-Q1,284971
Spain,2021-Q2,306581
Spain,2021-Q3,307204
Spain,2021-Q4,336718
Spain,2022-Q1,320480
Spain,2022-Q2,344225
Spain,2022-Q3,342446
Spain,2022-Q4,368712
Spain,2023-Q1,356176
Spain,2023-Q2,376132
Spain,2023-Q3,369727
Spain,2023-Q4,395726
Spain,2024-Q1,377737
Spain,2024-Q2,401519
Spain,2024-Q3,394243
Spain,2024-Q4,420831
Spain,2025-Q1,396446
Spain,2025-Q2,423008
Spain,2025-Q3,416492
Spain,2025-Q4,449837
Romania,2017-Q1,36117.1
Romania,2017-Q2,42819.1
Romania,2017-Q3,51775.2
Romania,2017-Q4,55446.4
Romania,2018-Q1,38877.3
Romania,2018-Q2,47618.2
Romania,2018-Q3,56447.2
Romania,2018-Q4,61832.5
Romania,2019-Q1,42551.2
Romania,2019-Q2,52175.2
Romania,2019-Q3,61137.6
Romania,2019-Q4,67409.4
Romania,2020-Q1,45288.8
Romania,2020-Q2,46982.3
Romania,2020-Q3,59510.7
Romania,2020-Q4,67889.2
Romania,2021-Q1,46919.2
Romania,2021-Q2,55551
Romania,2021-Q3,65575.8
Romania,2021-Q4,72770.9
Romania,2022-Q1,54250.2
Romania,2022-Q2,65932.4
Romania,2022-Q3,76577.2
Romania,2022-Q4,84119.5
Romania,2023-Q1,63988.1
Romania,2023-Q2,74739.2
Romania,2023-Q3,85772.5
Romania,2023-Q4,96898.7
Romania,2024-Q1,69941.9
Romania,2024-Q2,83960.2
Romania,2024-Q3,94744.4
Romania,2024-Q4,104978.5
Romania,2025-Q1,75425.9
Romania,2025-Q2,88724.2
Romania,2025-Q3,102181.9
Romania,2025-Q4,111509.5
Denmark,2017-Q1,71114.7
Denmark,2017-Q2,74917
Denmark,2017-Q3,72630.5
Denmark,2017-Q4,75688.6
Denmark,2018-Q1,72083.2
Denmark,2018-Q2,76265.5
Denmark,2018-Q3,74867.7
Denmark,2018-Q4,77799
Denmark,2019-Q1,74055.7
Denmark,2019-Q2,77896.5
Denmark,2019-Q3,76783.7
Denmark,2019-Q4,79808.4
Denmark,2020-Q1,76433.9
Denmark,2020-Q2,74767.7
Denmark,2020-Q3,78313.4
Denmark,2020-Q4,82610.4
Denmark,2021-Q1,79123.3
Denmark,2021-Q2,85091.5
Denmark,2021-Q3,85330
Denmark,2021-Q4,93772
Denmark,2022-Q1,89289
Denmark,2022-Q2,96436.9
Denmark,2022-Q3,96164
Denmark,2022-Q4,98681.6
Denmark,2023-Q1,92746.5
Denmark,2023-Q2,94428.1
Denmark,2023-Q3,90482.6
Denmark,2023-Q4,96509.9
Denmark,2024-Q1,91106.9
Denmark,2024-Q2,97828.9
Denmark,2024-Q3,96829.1
Denmark,2024-Q4,106633.8
Denmark,2025-Q1,98043.6
Denmark,2025-Q2,101910.2
Denmark,2025-Q3,101427.7
Denmark,2025-Q4,108269.8
