country,time,price
Denmark,2019-S2,0.2924
Denmark,2020-S1,0.2833
Denmark,2020-S2,0.2819
Denmark,2021-S1,0.29
Denmark,2021-S2,0.3448
Denmark,2022-S1,0.4559
Denmark,2022-S2,0.5871
Denmark,2023-S1,0.3811
Denmark,2023-S2,0.3554
Denmark,2024-S1,0.3708
Denmark,2024-S2,0.3763
Denmark,2025-S1,0.3485
Romania,2017-S1,0.1198
Romania,2017-S2,0.1289
Romania,2018-S1,0.1333
Romania,2018-S2,0.1317
Romania,2019-S1,0.1358
Romania,2019-S2,0.1421
Romania,2020-S1,0.1459
Romania,2020-S2,0.1449
Romania,2021-S1,0.1536
Romania,2021-S2,0.1602
Romania,2022-S1,0.2362
Romania,2022-S2,0.3411
Romania,2023-S1,0.1892
Romania,2023-S2,0.191
Romania,2024-S1,0.1883
Romania,2024-S2,0.1863
Romania,2025-S1,0.1918
